Category,Description,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
No Category,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),0,0.41,0.0,0.6,0.0,0.0
CREAM,"CREAM,HALF & HALF,FAT FREE",12,0.52,0.062,0.7,0.04,0.2
No Category,REDDI WIP FAT FREE WHIPPED TOPPING,49,1.48,0.123,0.0,0.09,0.3
MILK,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",64,0.33,0.024,0.0,0.04,0.2
YOGURT,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",131,0.52,0.045,0.7,0.06,1.2
CHEESE,"CHEESE,PARMESAN,DRY GRATED,RED FAT",160,2.26,0.049,0.0,0.17,1.7
CREAM SUB,"CREAM SUB,FLAV,LIQ",0,0.0,0.004,0.0,1.58,3.3
CREAM SUB,"CREAM SUB,FLAV,POWDERED",0,0.0,0.004,0.0,0.41,9.1
CHEESE,"CHEESE,PROVOLONE,RED FAT",141,1.46,0.073,0.0,0.15,1.5
CHEESE,"CHEESE,MEXICAN,BLEND,RED FAT",155,1.66,0.084,0.0,0.17,1.6
EGG MIX,"EGG MIX,USDA CMDTY",117,2.9,0.207,0.0,2.04,0.7
ALLSPICE,"ALLSPICE,GROUND",27,0.0,0.21,39.2,0.0,0.0
No Category,ANISE SEED,16,0.0,0.65,21.0,0.0,0.0
SPICES,"SPICES,BASIL,DRIED",469,0.0,2.32,61.2,7.48,1714.5
SPICES,"SPICES,BAY LEAF",309,0.0,1.74,46.5,0.0,0.0
No Category,CARAWAY SEED,18,0.0,0.36,21.0,2.5,0.0
SPICES,"SPICES,CARDAMOM",0,0.0,0.23,21.0,0.0,0.0
No Category,CELERY SEED,3,0.0,0.89,17.1,1.07,0.0
CHERVIL,"CHERVIL,DRIED",293,0.0,0.93,50.0,0.0,0.0
No Category,CHILI POWDER,1483,0.0,3.67,64.1,29.05,105.7
CINNAMON,"CINNAMON,GROUND",15,0.0,0.158,3.8,2.32,31.2
CLOVES,"CLOVES,GROUND",27,0.0,0.59,80.8,8.52,141.8
CORIANDER LEAF,"CORIANDER LEAF,DRIED",293,0.0,0.61,566.7,1.03,1359.5
No Category,CORIANDER SEED,0,0.0,0.0,21.0,0.0,0.0
No Category,CUMIN SEED,64,0.0,0.435,7.7,3.33,5.4
No Category,CURRY POWDER,49,0.0,1.15,11.4,21.99,99.8
No Category,DILL SEED,3,0.0,0.25,21.0,0.0,0.0
DILL WEED,"DILL WEED,DRIED",293,0.0,1.71,50.0,0.0,0.0
No Category,FENNEL SEED,7,0.0,0.47,21.0,0.0,0.0
No Category,FENUGREEK SEED,3,0.0,0.6,3.0,0.0,0.0
No Category,GARLIC POWDER,0,0.0,2.94,18.0,0.63,0.0
GINGER,"GINGER,GROUND",7,0.0,0.84,7.0,18.02,0.8
MACE,"MACE,GROUND",40,0.0,0.16,21.0,0.0,0.0
MARJORAM,"MARJORAM,DRIED",403,0.0,1.19,51.4,1.69,621.7
MUSTARD SEED,"MUSTARD SEED,YELLOW",3,0.0,0.43,3.0,2.89,5.4
NUTMEG,"NUTMEG,GROUND",5,0.0,0.16,3.0,0.0,0.0
No Category,ONION POWDER,0,0.0,1.215,14.7,0.27,4.1
SPICES,"SPICES,OREGANO,DRIED",345,0.0,1.21,50.0,18.86,621.7
No Category,PAPRIKA,2637,0.0,4.02,71.1,29.83,80.3
PARSLEY,"PARSLEY,DRIED",509,0.0,1.002,122.0,6.91,1359.5
PEPPER,"PEPPER,BLACK",15,0.0,0.34,21.0,0.72,163.7
PEPPER,"PEPPER,RED OR CAYENNE",2081,0.0,2.45,76.4,29.83,80.3
PEPPER,"PEPPER,WHITE",0,0.0,0.1,21.0,0.0,0.0
No Category,POPPY SEED,0,0.0,0.247,1.0,1.77,0.0
No Category,POULTRY SEASONING,132,0.0,1.32,12.0,1.32,805.4
No Category,PUMPKIN PIE SPICE,13,0.0,0.4,23.4,0.83,28.4
ROSEMARY,"ROSEMARY,DRIED",156,0.0,1.74,61.2,0.0,0.0
No Category,SAFFRON,27,0.0,1.01,80.8,0.0,0.0
SAGE,"SAGE,GROUND",295,0.0,2.69,32.4,7.48,1714.5
SAVORY,"SAVORY,GROUND",257,0.0,1.81,50.0,0.0,0.0
SPICES,"SPICES,TARRAGON,DRIED",210,0.0,2.41,50.0,0.0,0.0
SPICES,"SPICES,THYME,DRIED",190,0.0,0.55,50.0,7.48,1714.5
TURMERIC,"TURMERIC,GROUND",0,0.0,1.8,25.9,3.1,13.4
BASIL,"BASIL,FRESH",264,0.0,0.155,18.0,0.8,414.8
DILL WEED,"DILL WEED,FRSH",386,0.0,0.185,85.0,0.0,0.0
MUSTARD,"MUSTARD,PREPARED,YELLOW",4,0.0,0.063,1.5,0.36,1.8
SALT,"SALT,TABLE",0,0.0,0.0,0.0,0.0,0.0
VINEGAR,"VINEGAR,CIDER",0,0.0,0.0,0.0,0.0,0.0
THYME,"THYME,FRSH",238,0.0,0.348,160.1,0.0,0.0
No Category,VANILLA EXTRACT,0,0.0,0.026,0.0,0.0,0.0
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,ALCOHOL",0,0.0,0.019,0.0,0.0,0.0
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,NO ALCOHOL",0,0.0,0.008,0.0,0.0,0.0
VINEGAR,"VINEGAR,DISTILLED",0,0.0,0.0,0.0,0.0,0.0
CAPERS,"CAPERS,CANNED",7,0.0,0.023,4.3,0.88,24.6
HORSERADISH,"HORSERADISH,PREPARED",0,0.0,0.073,24.9,0.01,1.3
ROSEMARY,"ROSEMARY,FRESH",146,0.0,0.336,21.8,0.0,0.0
PEPPERMINT,"PEPPERMINT,FRESH",212,0.0,0.129,31.8,0.0,0.0
SPEARMINT,"SPEARMINT,FRESH",203,0.0,0.158,13.3,0.0,0.0
SPEARMINT,"SPEARMINT,DRIED",529,0.0,2.579,0.0,0.0,0.0
VINEGAR,"VINEGAR,RED WINE",0,0.0,0.0,0.5,0.0,0.0
VINEGAR,"VINEGAR,BALSAMIC",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP CO,"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",0,0.0,0.0,45.0,0.0,0.0
BABYFOOD,"BABYFOOD,MEAT,BF,STR",0,1.26,0.039,2.1,0.37,0.6
BABYFOOD,"BABYFOOD,MEAT,BF,STR",0,1.26,0.039,2.1,0.37,0.6
BABYFOOD,"BABYFOOD,MEAT,VEAL,STR",0,1.65,0.049,0.0,0.28,0.0
BABYFOOD,"BABYFOOD,MEAT,PORK,STR",11,0.99,0.205,1.8,0.4,0.0
